Province/State,Country/Region,last_update,Confirmed,Deaths,Recovered,latitude,longitude,start_date,end_date,max_temp,min_temp,avg_temp
,Russian Federation,2020-03-10 19:13:21,10,0,3,60.0,90.0,2020-03-10,2020-03-11,-4.0,-14.8,-9.4
,Belarus,2020-03-10 16:13:27,9,0,3,53.7098,27.9534,2020-03-10,2020-03-11,6.0,2.0,4.0
,Costa Rica,2020-03-09 09:03:03,9,0,0,9.7489,-83.7534,2020-03-09,2020-03-10,27.4,18.9,23.15
,Hungary,2020-03-09 09:43:03,9,0,0,47.1625,19.5033,2020-03-09,2020-03-10,11.1,-1.1,5.0
,Latvia,2020-03-10 10:13:41,8,0,1,56.8796,24.6032,2020-03-10,2020-03-11,6.3,2.6,4.45
Iowa,US,2020-03-10 02:33:04,8,0,0,42.0115,-93.2105,2020-03-10,2020-03-11,8.9,-3.9,2.5
Maryland,US,2020-03-10 18:13:16,8,0,0,39.0639,-76.8021,2020-03-10,2020-03-11,22.0,13.0,17.5
South Australia,Australia,2020-03-06 04:23:08,7,0,2,-34.9285,138.6007,2020-03-06,2020-03-07,23.6,15.3,19.45
Alberta,Canada,2020-03-09 17:53:24,7,0,0,53.9333,-116.5765,2020-03-09,2020-03-10,1.9,-14.4,-6.25
,Mexico,2020-03-10 05:13:07,7,0,4,23.0,-102.0,2020-03-10,2020-03-11,23.7,12.2,17.95
,North Macedonia,2020-03-10 10:53:03,7,0,0,41.6086,21.7453,2020-03-10,2020-03-11,4.2,0.6,2.4
,Slovakia,2020-03-10 05:13:07,7,0,0,48.669,19.699,2020-03-10,2020-03-11,8.9,-4.1,2.4
,South Africa,2020-03-10 05:13:07,7,0,0,-30.5595,22.9375,2020-03-10,2020-03-11,22.2,15.6,18.9
North Carolina,US,2020-03-10 02:33:04,7,0,0,35.6301,-79.8064,2020-03-10,2020-03-11,19.4,13.9,16.65
South Carolina,US,2020-03-10 02:33:04,7,0,0,33.8569,-80.945,2020-03-10,2020-03-11,23.3,12.8,18.05
Tennessee,US,2020-03-10 19:53:13,7,0,0,35.7478,-86.6923,2020-03-10,2020-03-11,21.0,11.0,16.0
Virginia,US,2020-03-10 03:53:03,7,0,0,37.7693,-78.17,2020-03-10,2020-03-11,23.3,3.3,13.3
Western Australia,Australia,2020-03-10 14:33:13,6,1,0,-31.9505,115.8605,2020-03-10,2020-03-11,35.1,19.9,27.5
,Maldives,2020-03-10 05:13:07,6,0,0,3.2028,73.2207,2020-03-10,2020-03-11,29.3,28.5,28.9
Arizona,US,2020-03-10 02:53:04,6,0,1,33.7298,-111.4312,2020-03-10,2020-03-11,18.9,11.1,15.0
Indiana,US,2020-03-10 17:13:25,6,0,0,39.8494,-86.2583,2020-03-10,2020-03-11,13.9,3.3,8.6
Kentucky,US,2020-03-10 02:33:04,6,0,0,37.6681,-84.6701,2020-03-10,2020-03-11,12.2,6.1,9.15
,Afghanistan,2020-03-10 12:33:02,5,0,0,33.0,65.0,2020-03-10,2020-03-11,6.7,1.1,3.9
,Bosnia and Herzegovina,2020-03-10 05:13:07,5,0,0,43.9159,17.6791,2020-03-10,2020-03-11,9.2,-2.0,3.6
,Dominican Republic,2020-03-08 17:23:08,5,0,0,18.7357,-70.1627,2020-03-08,2020-03-09,28.0,22.0,25.0
,French Guiana,2020-03-07 03:23:05,5,0,0,3.9339,-53.1258,2020-03-07,2020-03-08,30.4,21.5,25.95
,Luxembourg,2020-03-10 05:13:07,5,0,0,49.8144,6.1317,2020-03-10,2020-03-11,11.0,4.0,7.5
,Malta,2020-03-10 16:33:13,5,0,0,35.9375,14.3754,2020-03-10,2020-03-11,15.0,9.0,12.0
,New Zealand,2020-03-07 02:03:29,5,0,0,-40.9006,174.886,2020-03-07,2020-03-08,21.5,6.7,14.1
,Serbia,2020-03-10 18:53:03,5,0,0,44.0165,21.0059,2020-03-10,2020-03-11,6.1,5.2,5.65
,Tunisia,2020-03-10 05:13:07,5,0,0,33.8869,9.5375,2020-03-10,2020-03-11,15.6,8.5,12.05
District of Columbia,US,2020-03-10 03:53:03,5,0,0,38.8974,-77.0268,2020-03-10,2020-03-11,22.8,8.9,15.85
,Bulgaria,2020-03-09 14:43:03,4,0,0,42.7339,25.4858,2020-03-09,2020-03-10,9.3,3.0,6.15
Quebec,Canada,2020-03-10 00:53:03,4,0,0,52.9399,-73.5491,2020-03-10,2020-03-11,-10.7,-21.5,-16.1
,Senegal,2020-03-08 20:23:08,4,0,1,14.4974,-14.4524,2020-03-08,2020-03-09,41.5,19.6,30.55
Nevada,US,2020-03-10 02:33:04,4,0,0,38.3135,-117.0554,2020-03-10,2020-03-11,12.2,-0.6,5.8
New Hampshire,US,2020-03-10 02:33:04,4,0,0,43.4525,-71.5639,2020-03-10,2020-03-11,12.0,2.8,7.4
,Bangladesh,2020-03-10 06:19:32,3,0,0,23.685,90.3563,2020-03-10,2020-03-11,30.6,17.0,23.8
,Colombia,2020-03-10 05:33:02,3,0,0,4.5709,-74.2973,2020-03-10,2020-03-11,22.0,11.0,16.5
,Cyprus,2020-03-10 13:13:13,3,0,0,35.1264,33.4299,2020-03-10,2020-03-11,20.3,14.8,17.55
,Morocco,2020-03-10 14:13:14,3,1,0,31.7917,-7.0926,2020-03-10,2020-03-11,24.8,5.6,15.2
,Republic of Moldova,2020-03-10 19:13:21,3,0,0,47.4116,28.3699,2020-03-10,2020-03-11,12.4,8.5,10.45
Minnesota,US,2020-03-10 19:53:13,3,0,0,45.6945,-93.9002,2020-03-10,2020-03-11,1.1,-6.7,-2.8
Nebraska,US,2020-03-10 03:13:17,3,0,0,41.1254,-98.2681,2020-03-10,2020-03-11,6.7,-1.1,2.8
Ohio,US,2020-03-10 03:13:17,3,0,0,40.3888,-82.7649,2020-03-10,2020-03-11,14.0,5.0,9.5
Rhode Island,US,2020-03-10 03:13:17,3,0,0,41.6809,-71.5118,2020-03-10,2020-03-11,20.9,5.3,13.1
Wisconsin,US,2020-03-10 17:13:25,3,0,1,44.2685,-89.6165,2020-03-10,2020-03-11,6.7,-4.4,1.15
Tasmania,Australia,2020-03-08 05:43:04,2,0,0,-41.4545,145.9707,2020-03-08,2020-03-09,15.6,7.4,11.5
,Cambodia,2020-03-08 04:53:03,2,0,1,11.55,104.9167,2020-03-08,2020-03-09,37.0,25.5,31.25
,Cameroon,2020-03-08 05:23:03,2,0,0,3.848,11.5021,2020-03-08,2020-03-09,32.0,18.0,25.0
,Faroe Islands,2020-03-08 05:13:07,2,0,0,61.8926,-6.9118,2020-03-08,2020-03-09,5.5,2.2,3.85
,Martinique,2020-03-07 03:23:05,2,0,0,14.6415,-61.0242,2020-03-07,2020-03-08,30.0,23.0,26.5
,Nigeria,2020-03-09 09:43:03,2,0,0,9.082,8.6753,2020-03-09,2020-03-10,40.0,24.4,32.2
,Saint Martin,2020-03-10 05:33:02,2,0,0,18.0708,-63.0501,2020-03-10,2020-03-11,30.0,25.0,27.5
Connecticut,US,2020-03-10 03:13:17,2,0,0,41.5978,-72.7554,2020-03-10,2020-03-11,18.9,1.7,10.3
Hawaii,US,2020-03-10 03:13:17,2,0,0,21.0943,-157.4983,2020-03-10,2020-03-11,26.1,15.6,20.85
Oklahoma,US,2020-03-10 17:13:25,2,0,0,35.5653,-96.9289,2020-03-10,2020-03-11,21.3,1.5,11.4
Utah,US,2020-03-10 16:53:13,2,0,0,40.15,-111.8624,2020-03-10,2020-03-11,12.8,1.7,7.25
,Andorra,2020-03-02 20:23:16,1,0,0,42.5063,1.5218,2020-03-02,2020-03-03,2.2,-5.2,-1.5
,Armenia,2020-03-01 19:53:02,1,0,0,40.0691,45.0382,2020-03-01,2020-03-02,3.8,0.2,2.0
Northern Territory,Australia,2020-03-10 14:13:14,1,0,0,-12.4634,130.8456,2020-03-10,2020-03-11,32.1,23.2,27.65
,Bhutan,2020-03-06 15:43:02,1,0,0,27.5142,90.4336,2020-03-06,2020-03-07,2.2,-7.0,-2.4
,Brunei,2020-03-10 06:13:43,1,0,0,4.5353,114.7277,2020-03-10,2020-03-11,30.7,24.4,27.55
,Burkina Faso,2020-03-10 05:33:02,1,0,0,12.2383,-1.5616,2020-03-10,2020-03-11,39.1,24.0,31.55
,Channel Islands,2020-03-10 05:33:02,1,0,0,49.3723,-2.3644,2020-03-10,2020-03-11,12.0,10.0,11.0
,Gibraltar,2020-03-10 08:33:03,1,0,1,36.1408,-5.3536,2020-03-10,2020-03-11,19.0,13.0,16.0
,Holy See,2020-03-10 19:13:21,1,0,0,41.9029,12.4534,2020-03-10,2020-03-11,18.0,4.0,11.0
,Jordan,2020-03-03 15:33:02,1,0,0,31.24,36.51,2020-03-03,2020-03-04,21.1,3.7,12.4
,Liechtenstein,2020-03-04 01:33:07,1,0,0,47.14,9.55,2020-03-04,2020-03-05,7.9,0.5,4.2
,Lithuania,2020-02-28 16:23:03,1,0,0,55.1694,23.8813,2020-02-28,2020-02-29,3.0,-1.0,1.0
Tibet,Mainland China,2020-02-12 06:43:02,1,0,1,31.6927,88.0924,2020-02-12,2020-02-13,2.6,-16.7,-7.05
,Monaco,2020-02-29 00:33:01,1,0,0,43.7333,7.4167,2020-02-29,2020-03-01,13.0,8.0,10.5
,Mongolia,2020-03-10 06:13:43,1,0,0,46.8625,103.8467,2020-03-10,2020-03-11,0.9,-11.4,-5.25
,Nepal,2020-03-10 08:33:03,1,0,1,28.3949,84.124,2020-03-10,2020-03-11,1.5,-9.3,-3.9
,Panama,2020-03-10 06:13:43,1,0,0,8.538,-80.7821,2020-03-10,2020-03-11,27.0,20.0,23.5
,Paraguay,2020-03-08 09:13:16,1,0,0,-23.4425,-58.4438,2020-03-08,2020-03-09,38.9,21.9,30.4
,Saint Barthelemy,2020-03-09 10:43:06,1,0,0,17.9,-62.8333,2020-03-09,2020-03-10,29.0,24.0,26.5
,Sri Lanka,2020-03-10 08:33:03,1,0,1,7.8731,80.7718,2020-03-10,2020-03-11,32.2,21.9,27.05
,Togo,2020-03-07 02:13:09,1,0,0,8.6195,0.8248,2020-03-07,2020-03-08,34.8,21.1,27.95
Kansas,US,2020-03-10 03:13:17,1,0,0,38.5266,-96.7265,2020-03-10,2020-03-11,11.9,-0.4,5.75
Louisiana,US,2020-03-10 03:13:17,1,0,0,31.1695,-91.8678,2020-03-10,2020-03-11,25.2,17.8,21.5
Missouri,US,2020-03-10 03:13:17,1,0,0,38.4561,-92.2884,2020-03-10,2020-03-11,7.2,3.9,5.55
Vermont,US,2020-03-10 03:13:17,1,0,0,44.0459,-72.7107,2020-03-10,2020-03-11,12.8,2.8,7.8
,Ukraine,2020-03-03 15:33:02,1,0,0,48.3794,31.1656,2020-03-03,2020-03-04,14.4,3.3,8.85
From Diamond Princess,Australia,2020-02-29 02:03:10,0,0,0,35.4437,139.638,2020-02-29,2020-03-01,12.7,5.5,9.1
Alaska,US,2020-03-10 02:33:04,0,0,0,61.3707,-152.4044,2020-03-10,2020-03-11,-10.0,-23.3,-16.65
Arkansas,US,2020-03-10 02:33:04,0,0,0,34.9697,-92.3731,2020-03-10,2020-03-11,18.3,11.1,14.7
Delaware,US,2020-03-10 02:33:04,0,0,0,39.3185,-75.5071,2020-03-10,2020-03-11,16.9,10.2,13.55
Idaho,US,2020-03-10 02:33:04,0,0,0,44.2405,-114.4788,2020-03-10,2020-03-11,3.0,-11.5,-4.25
Maine,US,2020-03-10 02:33:04,0,0,0,44.6939,-69.3819,2020-03-10,2020-03-11,7.8,-0.4,3.7
Michigan,US,2020-03-10 02:33:04,0,0,0,43.3266,-84.5361,2020-03-10,2020-03-11,10.5,0.0,5.25
Mississippi,US,2020-03-10 02:33:04,0,0,0,32.7416,-89.6787,2020-03-10,2020-03-11,24.1,16.3,20.2
Montana,US,2020-03-10 02:33:04,0,0,0,46.9219,-110.4544,2020-03-10,2020-03-11,5.5,-7.1,-0.8
New Mexico,US,2020-03-10 02:33:04,0,0,0,34.8405,-106.2485,2020-03-10,2020-03-11,19.4,-2.5,8.45
North Dakota,US,2020-03-10 02:33:04,0,0,0,47.5289,-99.784,2020-03-10,2020-03-11,5.2,-5.6,-0.2
South Dakota,US,2020-03-10 02:33:04,0,0,0,44.2998,-99.4388,2020-03-10,2020-03-11,4.1,-4.4,-0.15
West Virginia,US,2020-03-10 02:33:04,0,0,0,38.4912,-80.9545,2020-03-10,2020-03-11,15.2,11.1,13.15
Wyoming,US,2020-03-10 02:33:04,0,0,0,42.756,-107.3025,2020-03-10,2020-03-11,4.4,0.0,2.2
